GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Kaddem,com.esprit.kaddem.exceptions,OrderNotFoundException,5,4,0,0,2,2,1,1,1,1
Kaddem,com.esprit.kaddem.restcontrollers.dtos,UniversiteDTO,10,0,0,0,4,0,3,0,3,0
Kaddem,com.esprit.kaddem.restcontrollers,UniversiteRestController,40,3,0,0,10,1,4,1,4,1
Kaddem,com.esprit.kaddem,KaddemApplication,5,3,0,0,2,1,1,1,1,1
Kaddem,com.esprit.kaddem.entities,Universite,8,18,0,0,4,7,2,4,2,4
Kaddem,com.esprit.kaddem.entities,Option,0,54,0,0,0,2,0,1,0,1
Kaddem,com.esprit.kaddem.entities,Contrat,115,3,0,0,31,2,16,1,16,1
Kaddem,com.esprit.kaddem.entities,Specialite,0,44,0,0,0,2,0,1,0,1
Kaddem,com.esprit.kaddem.entities,Etudiant,119,3,0,0,31,2,16,1,16,1
Kaddem,com.esprit.kaddem.entities,Equipe.EquipeBuilder,62,0,0,0,1,0,7,0,7,0
Kaddem,com.esprit.kaddem.entities,Equipe,47,3,0,0,7,1,10,1,10,1
Kaddem,com.esprit.kaddem.entities,Niveau,0,34,0,0,0,2,0,1,0,1
Kaddem,com.esprit.kaddem.entities,Departement,33,3,0,0,5,1,7,1,7,1
Kaddem,com.esprit.kaddem.services,UniversiteServiceImpl,15,25,1,1,4,6,3,4,2,4
